Title,ExperienceLevel,YearsOfExperience,Skills,Keywords
Business Analyst,Fresher,0-1,Data analysis; Excel; SQL basics; Tableau basics; Power BI basics; Requirement gathering; Documentation; Agile methodology awareness; Communication; Problem-solving,Business Analysis; Data Analysis; Excel; SQL; Tableau; Power BI; Requirement Gathering; Agile; Problem Solving; Documentation
Business Analyst,Mid-Level,2-5,Advanced data analysis; SQL; Tableau; Power BI; Business process mapping; Requirement gathering; Agile methodologies; Stakeholder communication; Critical thinking; Data storytelling,Business Analysis; SQL; Tableau; Power BI; Agile; Requirement Gathering; Stakeholder Management; Data Storytelling; Critical Thinking; Process Improvement
Business Analyst,Experienced,5-8,Business intelligence; Advanced SQL; Tableau; Power BI; SAS; AI-driven analytics; Requirement gathering; Agile project management; Stakeholder management; Strategic planning,Business Analysis; BI Tools; SQL; Tableau; Power BI; SAS; AI Analytics; Stakeholder Management; Agile; Strategic Planning
Business Analyst,Experienced,6-10,Advanced analytics; SQL; Excel; Tableau; Power BI; AI-enhanced analytics; Requirement elicitation; Agile leadership; Stakeholder engagement; Business process optimization,Business Analysis; SQL; Tableau; Power BI; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Business Process; Data Visualization
Business Analyst,Fresher,0-1,Data interpretation; Excel; SQL basics; Power BI basics; Requirement documentation; Agile fundamentals; Communication; Team collaboration; Problem-solving; Research skills,Business Analysis; SQL; Excel; Power BI; Requirement Gathering; Agile; Data Analysis; Documentation; Collaboration; Problem Solving
Business Analyst,Mid-Level,2-5,Data analysis; SQL; Tableau; Power BI; Business process modeling; Requirement gathering; Agile project management; Stakeholder communication; Critical thinking; Data storytelling,Business Analysis; SQL; Tableau; Power BI; Agile; Requirement Gathering; Stakeholder Management; Data Storytelling; Critical Thinking; Process Improvement
Business Analyst,Experienced,5-8,Business intelligence; Advanced SQL; Tableau; Power BI; SAS; AI-powered analytics; Requirement elicitation; Agile methodology; Stakeholder management; Strategic planning,Business Analysis; BI Tools; SQL; Tableau; Power BI; SAS; AI Analytics; Stakeholder Management; Agile; Strategic Planning
Business Analyst,Experienced,6-10,Advanced data analysis; SQL; Excel; Tableau; Power BI; AI-enhanced analytics; Requirement management; Agile leadership; Stakeholder engagement; Business process optimization,Business Analysis; SQL; Tableau; Power BI; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Business Process; Data Visualization
Business Analyst,Fresher,0-1,Data analysis basics; Excel; SQL; Power BI basics; Requirement documentation; Agile fundamentals; Communication; Problem-solving; Collaboration; Research,Business Analysis; Excel; SQL; Power BI; Requirement Gathering; Agile; Data Analysis; Documentation; Collaboration; Problem Solving
Business Analyst,Mid-Level,2-5,Data analysis; SQL; Tableau; Power BI; Business process modeling; Requirement gathering; Agile methodology; Stakeholder communication; Critical thinking; Data storytelling,Business Analysis; SQL; Tableau; Power BI; Agile; Requirement Gathering; Stakeholder Management; Data Storytelling; Critical Thinking; Process Improvement
Business Analyst,Experienced,5-8,Advanced SQL; Tableau; Power BI; Business Intelligence; SAS; AI-driven analytics; Requirement elicitation; Agile methodology; Stakeholder management; Strategic planning,Business Analysis; SQL; Tableau; Power BI; BI Tools; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Strategic Planning
Business Analyst,Experienced,6-10,Data analysis; SQL; Excel; Tableau; Power BI; AI-enhanced analytics; Requirement management; Agile leadership; Stakeholder engagement; Business process optimization,Business Analysis; SQL; Tableau; Power BI; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Business Process; Data Visualization
Business Analyst,Fresher,0-1,Basic data analysis; Excel; SQL; Power BI basics; Requirement documentation; Agile fundamentals; Communication; Problem-solving; Collaboration; Research,Business Analysis; Excel; SQL; Power BI; Requirement Gathering; Agile; Data Analysis; Documentation; Collaboration; Problem Solving
Business Analyst,Mid-Level,2-5,Data analysis; SQL; Tableau; Power BI; Business process modeling; Requirement gathering; Agile methodology; Stakeholder communication; Critical thinking; Data storytelling,Business Analysis; SQL; Tableau; Power BI; Agile; Requirement Gathering; Stakeholder Management; Data Storytelling; Critical Thinking; Process Improvement
Business Analyst,Experienced,5-8,Business Intelligence; Advanced SQL; Tableau; Power BI; SAS; AI-driven analytics; Requirement elicitation; Agile methodology; Stakeholder management; Strategic planning,Business Analysis; SQL; Tableau; Power BI; BI Tools; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Strategic Planning
Business Analyst,Experienced,6-10,Advanced data analysis; SQL; Excel; Tableau; Power BI; AI-enhanced analytics; Requirement management; Agile leadership; Stakeholder engagement; Business process optimization,Business Analysis; SQL; Tableau; Power BI; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Business Process; Data Visualization
Business Analyst,Fresher,0-1,Data analysis basics; Excel; SQL basics; Power BI basics; Requirement documentation; Agile fundamentals; Communication; Problem-solving; Collaboration; Research,Business Analysis; Excel; SQL; Power BI; Requirement Gathering; Agile; Data Analysis; Documentation; Collaboration; Problem Solving
Business Analyst,Mid-Level,2-5,Data analysis; SQL; Tableau; Power BI; Business process modeling; Requirement gathering; Agile methodology; Stakeholder communication; Critical thinking; Data storytelling,Business Analysis; SQL; Tableau; Power BI; Agile; Requirement Gathering; Stakeholder Management; Data Storytelling; Critical Thinking; Process Improvement
Business Analyst,Experienced,5-8,Advanced SQL; Tableau; Power BI; Business Intelligence; SAS; AI-driven analytics; Requirement elicitation; Agile methodology; Stakeholder management; Strategic planning,Business Analysis; SQL; Tableau; Power BI; BI Tools; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Strategic Planning
Business Analyst,Experienced,6-10,Advanced data analysis; SQL; Excel; Tableau; Power BI; AI-enhanced analytics; Requirement management; Agile leadership; Stakeholder engagement; Business process optimization,Business Analysis; SQL; Tableau; Power BI; AI Analytics; Requirement Gathering; Agile; Stakeholder Management; Business Process; Data Visualization
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL basics; PostgreSQL basics; Tableau; Power BI; Excel charts and dashboards; Basic statistics; ETL awareness; Business acumen; Data analysis,BI; Analytics; Fresher; Entry-Level; SQL; Tableau; Power BI; ETL
BI Analyst - Fresher,Entry-Level,0–1 year,SQL querying; Tableau; Power BI; Excel charts and pivot tables; Basic statistical analysis; ETL process awareness,BI; Reporting; Analytics; Fresher; Entry-Level; SQL; Tableau; Power BI
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL; PostgreSQL; Tableau; Power BI; Excel dashboards; Basic statistics; ETL process understanding; KPI knowledge,BI; Analytics; Fresher; Entry-Level; SQL; Tableau; ETL
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL; PostgreSQL; Tableau; Power BI; Excel charts; Basic statistical analysis; ETL understanding; Business metrics awareness,BI; Analytics; Fresher; Entry-Level; SQL; Power BI; Tableau
BI Analyst - Fresher,Entry-Level,0–1 year,SQL querying; MySQL/PostgreSQL; Tableau; Power BI; Excel visualization; Data analysis; ETL process knowledge; KPI understanding,BI; Analytics; Reporting; Fresher; Entry-Level; SQL; Tableau; Power BI
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL; PostgreSQL; Tableau; Power BI; Excel; Basic data analysis; Statistics; ETL understanding; Business acumen,BI; Reporting; Analytics; Fresher; Entry-Level; SQL; Tableau; Power BI
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL/PostgreSQL; Tableau; Power BI; Excel charts; Basic statistics; ETL understanding; Business metrics awareness,BI; Analytics; Business Intelligence; Fresher; Entry-Level; SQL; Power BI; Tableau
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL/PostgreSQL; Tableau; Power BI; Excel; Basic statistics; ETL process understanding; Business process knowledge,BI; Analytics; Fresher; Entry-Level; SQL; Tableau; Power BI
BI Analyst - Fresher,Entry-Level,0–1 year,SQL; MySQL/PostgreSQL; Tableau; Power BI; Excel charts and dashboards; Basic statistics; ETL knowledge; KPI understanding,BI; Analytics; Fresher; Entry-Level; SQL; Power BI; Tableau; ETL
BI Analyst - Experienced,Senior-Level,4–8 years,Advanced analytics; Predictive modeling; Forecasting; Data modeling; Tableau; Power BI; QlikView; Looker; SQL; Redshift; Snowflake; ETL pipelines; KPI development; Data governance,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,5–9 years,Predictive analytics; Advanced BI modeling; Forecasting; Tableau; Power BI; Looker; QlikView; SQL; Redshift; Snowflake; ETL pipeline design; KPI and performance metrics development,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,6+ years,Tableau; Power BI; Looker; QlikView; SQL & Database management; Redshift; Snowflake; Predictive analytics; Forecasting; Data modeling; ETL pipeline management; KPI strategy,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,5–8 years,Advanced Tableau; Power BI; Looker; QlikView; Complex SQL queries; Redshift; Snowflake; Predictive modeling; Forecasting; ETL pipeline design; KPI monitoring,BI; Analytics; Senior-Level; ETL; Predictive Analytics; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,6–10 years,Tableau; Power BI; Looker; QlikView; SQL & Database management; Redshift; Snowflake; Predictive analytics; Data modeling; Forecasting; ETL pipelines; KPI development,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,7+ years,Advanced Tableau; Power BI; Looker; SQL queries; Redshift; Snowflake; Predictive modeling; Forecasting; ETL pipelines; Data integration; KPI definition,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,6+ years,Advanced Tableau; Power BI; Looker; QlikView; SQL optimization; Redshift; Snowflake; Predictive analytics; Data modeling; Forecasting; ETL pipeline management; KPI monitoring,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,5–9 years,Tableau; Power BI; Looker; QlikView; SQL; Redshift; Snowflake; Predictive analytics; Forecasting; Data modeling; ETL pipeline management; KPI strategy,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,6+ years,Advanced Tableau; Power BI; Looker; QlikView; SQL optimization; Redshift; Snowflake; Predictive analytics; Data modeling; ETL pipeline management; KPI monitoring,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,5–10 years,Advanced Tableau; Power BI; Looker; QlikView; SQL; Redshift; Snowflake; Predictive modeling; Forecasting; ETL pipeline management; KPI strategy,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
BI Analyst - Experienced,Senior-Level,5–9 years,Tableau; Power BI; Looker; QlikView; SQL; Redshift; Snowflake; Predictive analytics; Forecasting; Data modeling; ETL pipelines; KPI development,BI; Analytics; Senior-Level; Predictive Analytics; ETL; Tableau; Power BI
Data Analyst - Fresher,Entry-Level,0–1 year,SQL; Python; R; SAS; Tableau; Power BI; Matplotlib; Seaborn; Excel charts; Pandas; MySQL; PostgreSQL; Hadoop; Spark basics; Hypothesis testing; Regression,Data Analytics; BI; Entry-Level; Fresher; Reporting; Dashboard
